UTF8±àÂë±í´óÈ«
Code  code# Code      (coded in UTF-8)

B4FA  4EE3  E4 BB A3  ´ú
C1EE  4EE4  E4 BB A4  Áî
D2D4  4EE5  E4 BB A5  ÒÔ
D8ED  4EE8  E4 BB A8  Øí
D2C7  4EEA  E4 BB AA  ÒÇ
D8EF  4EEB  E4 BB AB  Øï
C3C7  4EEC  E4 BB AC  ÃÇ
D1F6  4EF0  E4 BB B0  Ñö
D6D9  4EF2  E4 BB B2  ÖÙ
D8F2  4EF3  E4 BB B3  Øò
D8F5  4EF5  E4 BB B5  Øõ
BCFE  4EF6  E4 BB B6  ¼þ
BCDB  4EF7  E4 BB B7  ¼Û
C8CE  4EFB  E4 BB BB  ÈÎ
B7DD  4EFD  E4 BB BD  ·Ý
B7C2  4EFF  E4 BB BF  ·Â
C6F3  4F01  E4 BC 81  Æó
D8F8  4F09  E4 BC 89  Øø
D2C1  4F0A  E4 BC 8A  ÒÁ
CEE9  4F0D  E4 BC 8D  Îé
BCBF  4F0E  E4 BC 8E  ¼¿
B7FC  4F0F  E4 BC 8F  ·ü
B7A5  4F10  E4 BC 90  ·¥
D0DD  4F11  E4 BC 91  ÐÝ
D6DA  4F17  E4 BC 97  ÖÚ
D3C5  4F18  E4 BC 98  ÓÅ
BBEF  4F19  E4 BC 99  »ï
BBE1  4F1A  E4 BC 9A  »á
D8F1  4F1B  E4 BC 9B  Øñ
C9A1  4F1E  E4 BC 9E  É¡
CEB0  4F1F  E4 BC 9F  Î°
B4AB  4F20  E4 BC A0  ´«
D8F3  4F22  E4 BC A2  Øó
C9CB  4F24  E4 BC A4  ÉË
D8F6  4F25  E4 BC A5  Øö
C2D7  4F26  E4 BC A6  Â×
D8F7  4F27  E4 BC A7  Ø÷
CEB1  4F2A  E4 BC AA  Î±
D8F9  4F2B  E4 BC AB  Øù
B2AE  4F2F  E4 BC AF  ²®
B9C0  4F30  E4 BC B0  ¹À
D9A3  4F32  E4 BC B2  Ù£
B0E9  4F34  E4 BC B4  °é
C1E6  4F36  E4 BC B6  Áæ
C9EC  4F38  E4 BC B8  Éì
CBC5  4F3A  E4 BC BA  ËÅ
CBC6  4F3C  E4 BC BC  ËÆ
D9A4  4F3D  E4 BC BD  Ù¤
B5E8  4F43  E4 BD 83  µè
B5AB  4F46  E4 BD 86  µ«
CEBB  4F4D  E4 BD 8D  Î»
B5CD  4F4E  E4 BD 8E  µÍ
D7A1  4F4F  E4 BD 8F  ×¡
D7F4  4F50  E4 BD 90  ×ô
D3D3  4F51  E4 BD 91  ÓÓ
CCE5  4F53  E4 BD 93  Ìå
BACE  4F55  E4 BD 95  ºÎ
D9A2  4F57  E4 BD 97  Ù¢
D9DC  4F58  E4 BD 98  ÙÜ
D3E0  4F59  E4 BD 99  Óà
D8FD  4F5A  E4 BD 9A  Øý
B7F0  4F5B  E4 BD 9B  ·ð
D7F7  4F5C  E4 BD 9C  ×÷
D8FE  4F5D  E4 BD 9D  Øþ
D8FA  4F5E  E4 BD 9E  Øú
D9A1  4F5F  E4 BD 9F  Ù¡
C4E3  4F60  E4 BD A0  Äã
D3B6  4F63  E4 BD A3  Ó¶
D8F4  4F64  E4 BD A4  Øô
D9DD  4F65  E4 BD A5  ÙÝ
D8FB  4F67  E4 BD A7  Øû
C5E5  4F69  E4 BD A9  Åå
C0D0  4F6C  E4 BD AC  ÀÐ
D1F0  4F6F  E4 BD AF  Ñð
B0DB  4F70  E4 BD B0  °Û
